ward,voting_districts,registered_voters
52602001,10,4248
52602002,3,5555
52602003,7,4944
52602004,4,4591
52602005,3,4306
52602006,7,4967
52602007,6,6003
52602008,7,5053
52602009,5,5740
52602010,4,5240
52602011,5,5661
52602012,4,4519
52602013,4,4420
52602014,8,4198
52602015,5,3912
