ward,voting_districts,registered_voters
52201001,7,4938
52201002,4,4733
52201003,5,4946
52201004,5,4681
52201005,4,4189
52201006,6,3891
52201007,3,4153
52201008,4,3915
52201009,2,3978
52201010,4,5421
52201011,6,4896
52201012,4,3645
52201013,6,4297
52201014,6,4511
