ward,voting_districts,registered_voters
52806001,9,5441
52806002,5,4211
52806003,6,4382
52806004,4,3952
52806005,7,6986
52806006,5,4420
52806007,8,4255
52806008,7,3317
52806009,7,5246
52806010,7,4120
52806011,6,4593
52806012,10,5178
52806013,8,5469
52806014,7,4932
