ward,voting_districts,registered_voters
52701001,5,5747
52701002,5,5801
52701003,5,6809
52701004,4,5716
52701005,5,4634
52701006,2,5101
52701007,5,4795
52701008,7,4203
52701009,3,4846
52701010,6,4900
52701011,4,6411
52701012,6,5887
52701013,3,5318
52701014,7,5164
52701015,6,5383
52701016,3,3631
52701017,3,3383
52701018,7,5005
52701019,8,6095
52701020,2,4688
