ward,voting_districts,registered_voters
52904001,6,4584
52904002,9,4180
52904003,11,3580
52904004,7,4048
52904005,7,5148
52904006,9,4194
52904007,8,4399
52904008,10,4923
52904009,9,3893
52904010,5,4819
52904011,9,3781
52904012,7,3411
52904013,6,4812
