ward,voting_districts,registered_voters
54303001,3,4526
54303002,9,4491
54303003,3,4699
54303004,2,4815
54303005,3,5094
54303006,6,2696
54303007,6,3283
54303008,2,4725
54303009,3,4864
54303010,3,4559
54303011,3,5026
