ward,voting_districts,registered_voters
52402001,6,4505
52402002,7,3783
52402003,8,3770
52402004,4,4480
52402005,8,4619
52402006,4,4875
52402007,7,4214
52402008,5,3535
52402009,5,5166
52402010,4,4223
52402011,9,4706
52402012,9,4997
52402013,6,4019
52402014,7,4551
52402015,4,4830
52402016,5,4804
52402017,5,4435
52402018,8,3793
52402019,7,4489
52402020,5,4649
