ward,voting_districts,registered_voters
52601001,8,3692
52601002,3,4579
52601003,3,5294
52601004,6,5077
52601005,8,4555
52601006,13,4853
52601007,10,3850
52601008,4,3894
52601009,10,3920
52601010,3,4894
