ward,voting_districts,registered_voters
52104001,7,4172
52104002,9,5438
52104003,4,4811
52104004,4,4344
52104005,6,5649
52104006,3,4700
52104007,7,5815
52104008,5,4038
52104009,5,4906
52104010,7,4300
52104011,2,3965
