ward,voting_districts,registered_voters
52206001,3,4470
52206002,5,4455
52206003,5,4937
52206004,6,4252
52206005,4,4220
52206006,4,3957
52206007,7,5121
52206008,5,5187
52206009,4,4137
52206010,6,3857
