ward,voting_districts,registered_voters
54303001,3,"4,526"
54303002,9,"4,491"
54303003,3,"4,699"
54303004,2,"4,815"
54303005,3,"5,094"
54303006,6,"2,696"
54303007,6,"3,283"
54303008,2,"4,725"
54303009,3,"4,864"
54303010,3,"4,559"
54303011,3,"5,026"
