ward,voting_districts,registered_voters
52805001,8,"3,885"
52805002,5,"4,644"
52805003,4,"2,931"
52805004,8,"3,840"
52805005,6,"3,314"
52805006,7,"3,886"
52805007,6,"3,655"
52805008,6,"4,047"
52805009,6,"3,729"
52805010,9,"4,401"
52805011,5,"3,296"
52805012,8,"4,187"
52805013,5,"4,139"
