ward,voting_districts,registered_voters
52701001,5,"5,747"
52701002,5,"5,801"
52701003,5,"6,809"
52701004,4,"5,716"
52701005,5,"4,634"
52701006,2,"5,101"
52701007,5,"4,795"
52701008,7,"4,203"
52701009,3,"4,846"
52701010,6,"4,900"
52701011,4,"6,411"
52701012,6,"5,887"
52701013,3,"5,318"
52701014,7,"5,164"
52701015,6,"5,383"
52701016,3,"3,631"
52701017,3,"3,383"
52701018,7,"5,005"
52701019,8,"6,095"
52701020,2,"4,688"
