Province,Municipality,Ward,VotingDistrict,BallotType,RegisteredVoters,TotalVotesCast,ValidVotesCast,ElectionYear
KwaZulu-Natal,ETH - eThekwini [Durban Metro],59200001,43400179,PR,1343.0,787.0,0.0,2006
KwaZulu-Natal,ETH - eThekwini [Durban Metro],59200001,43400179,WARD,1343.0,787.0,0.0,2006
KwaZulu-Natal,ETH - eThekwini [Durban Metro],59200001,43400179,PR,1343.0,787.0,757.0,2006
KwaZulu-Natal,ETH - eThekwini [Durban Metro],59200001,43400179,WARD,1343.0,787.0,750.0,2006
KwaZulu-Natal,ETH - eThekwini [Durban Metro],59200001,43400179,PR,1343.0,787.0,3.0,2006
KwaZulu-Natal,ETH - eThekwini [Durban Metro],59200001,43400179,WARD,1343.0,787.0,0.0,2006
KwaZulu-Natal,ETH - eThekwini [Durban Metro],59200001,43400179,PR,1343.0,787.0,3.0,2006
KwaZulu-Natal,ETH - eThekwini [Durban Metro],59200001,43400179,WARD,1343.0,787.0,1.0,2006
KwaZulu-Natal,ETH - eThekwini [Durban Metro],59200001,43400179,PR,1343.0,787.0,0.0,2006
KwaZulu-Natal,ETH - eThekwini [Durban Metro],59200001,43400179,WARD,1343.0,787.0,0.0,2006
KwaZulu-Natal,ETH - eThekwini [Durban Metro],59200001,43400179,PR,1343.0,787.0,0.0,2006
KwaZulu-Natal,ETH - eThekwini [Durban Metro],59200001,43400179,WARD,1343.0,787.0,0.0,2006
KwaZulu-Natal,ETH - eThekwini [Durban Metro],59200001,43400179,PR,1343.0,787.0,11.0,2006
KwaZulu-Natal,ETH - eThekwini [Durban Metro],59200001,43400179,WARD,1343.0,787.0,10.0,2006
KwaZulu-Natal,ETH - eThekwini [Durban Metro],59200001,43400179,PR,1343.0,787.0,0.0,2006
KwaZulu-Natal,ETH - eThekwini [Durban Metro],59200001,43400179,WARD,1343.0,787.0,0.0,2006
KwaZulu-Natal,ETH - eThekwini [Durban Metro],59200001,43400179,PR,1343.0,787.0,5.0,2006
KwaZulu-Natal,ETH - eThekwini [Durban Metro],59200001,43400179,WARD,1343.0,787.0,5.0,2006
KwaZulu-Natal,ETH - eThekwini [Durban Metro],59200001,43400179,PR,1343.0,787.0,0.0,2006
KwaZulu-Natal,ETH - eThekwini [Durban Metro],59200001,43400179,WARD,1343.0,787.0,0.0,2006
KwaZulu-Natal,ETH - eThekwini [Durban Metro],59200001,43400179,PR,1343.0,787.0,0.0,2006
KwaZulu-Natal,ETH - eThekwini [Durban Metro],59200001,43400179,PR,1343.0,787.0,1.0,2006
KwaZulu-Natal,ETH - eThekwini [Durban Metro],59200001,43400179,WARD,1343.0,787.0,0.0,2006
KwaZulu-Natal,ETH - eThekwini [Durban Metro],59200001,43400179,PR,1343.0,787.0,1.0,2006
KwaZulu-Natal,ETH - eThekwini [Durban Metro],59200001,43400179,PR,1343.0,787.0,4.0,2006
KwaZulu-Natal,ETH - eThekwini [Durban Metro],59200001,43400179,WARD,1343.0,787.0,5.0,2006
KwaZulu-Natal,ETH - eThekwini [Durban Metro],59200001,43400179,PR,1343.0,787.0,0.0,2006
KwaZulu-Natal,ETH - eThekwini [Durban Metro],59200001,43400179,PR,1343.0,787.0,1.0,2006
KwaZulu-Natal,ETH - eThekwini [Durban Metro],59200001,43400179,WARD,1343.0,787.0,0.0,2006
KwaZulu-Natal,ETH - eThekwini [Durban Metro],59200001,43400179,PR,1343.0,787.0,1.0,2006
KwaZulu-Natal,ETH - eThekwini [Durban Metro],59200001,43400179,PR,1343.0,787.0,0.0,2006
KwaZulu-Natal,ETH - eThekwini [Durban Metro],59200001,43400179,WARD,1343.0,787.0,0.0,2006
KwaZulu-Natal,ETH - eThekwini [Durban Metro],59200001,43400180,PR,1258.0,762.0,9.0,2006
KwaZulu-Natal,ETH - eThekwini [Durban Metro],59200001,43400180,WARD,1258.0,762.0,0.0,2006
KwaZulu-Natal,ETH - eThekwini [Durban Metro],59200001,43400180,PR,1258.0,762.0,698.0,2006
KwaZulu-Natal,ETH - eThekwini [Durban Metro],59200001,43400180,WARD,1258.0,762.0,719.0,2006
KwaZulu-Natal,ETH - eThekwini [Durban Metro],59200001,43400180,PR,1258.0,762.0,4.0,2006
KwaZulu-Natal,ETH - eThekwini [Durban Metro],59200001,43400180,WARD,1258.0,762.0,2.0,2006
KwaZulu-Natal,ETH - eThekwini [Durban Metro],59200001,43400180,PR,1258.0,762.0,4.0,2006
KwaZulu-Natal,ETH - eThekwini [Durban Metro],59200001,43400180,WARD,1258.0,762.0,8.0,2006
KwaZulu-Natal,ETH - eThekwini [Durban Metro],59200001,43400180,PR,1258.0,762.0,2.0,2006
KwaZulu-Natal,ETH - eThekwini [Durban Metro],59200001,43400180,WARD,1258.0,762.0,0.0,2006
KwaZulu-Natal,ETH - eThekwini [Durban Metro],59200001,43400180,PR,1258.0,762.0,2.0,2006
KwaZulu-Natal,ETH - eThekwini [Durban Metro],59200001,43400180,WARD,1258.0,762.0,1.0,2006
KwaZulu-Natal,ETH - eThekwini [Durban Metro],59200001,43400180,PR,1258.0,762.0,6.0,2006
KwaZulu-Natal,ETH - eThekwini [Durban Metro],59200001,43400180,WARD,1258.0,762.0,8.0,2006
KwaZulu-Natal,ETH - eThekwini [Durban Metro],59200001,43400180,PR,1258.0,762.0,0.0,2006
KwaZulu-Natal,ETH - eThekwini [Durban Metro],59200001,43400180,WARD,1258.0,762.0,1.0,2006
KwaZulu-Natal,ETH - eThekwini [Durban Metro],59200001,43400180,PR,1258.0,762.0,2.0,2006
KwaZulu-Natal,ETH - eThekwini [Durban Metro],59200001,43400180,WARD,1258.0,762.0,3.0,2006
KwaZulu-Natal,ETH - eThekwini [Durban Metro],59200001,43400180,PR,1258.0,762.0,0.0,2006
KwaZulu-Natal,ETH - eThekwini [Durban Metro],59200001,43400180,WARD,1258.0,762.0,2.0,2006
KwaZulu-Natal,ETH - eThekwini [Durban Metro],59200001,43400180,PR,1258.0,762.0,1.0,2006
KwaZulu-Natal,ETH - eThekwini [Durban Metro],59200001,43400180,PR,1258.0,762.0,3.0,2006
KwaZulu-Natal,ETH - eThekwini [Durban Metro],59200001,43400180,WARD,1258.0,762.0,2.0,2006
KwaZulu-Natal,ETH - eThekwini [Durban Metro],59200001,43400180,PR,1258.0,762.0,0.0,2006
KwaZulu-Natal,ETH - eThekwini [Durban Metro],59200001,43400180,PR,1258.0,762.0,3.0,2006
