ward,voting_districts,registered_voters
52207001,4,"4,423"
52207002,6,"5,059"
52207003,5,"3,792"
52207004,2,"4,626"
52207005,9,"3,703"
52207006,9,"3,904"
52207007,2,"3,976"
52207008,4,"4,066"
52207009,4,"4,957"
