ward,voting_districts,registered_voters
52504001,8,"4,743"
52504002,4,"4,891"
52504003,4,"4,049"
52504004,5,"3,958"
52504005,5,"5,589"
52504006,3,"3,852"
52504007,5,"4,788"
52504008,6,"4,624"
52504009,5,"5,671"
52504010,5,"3,694"
52504011,3,"3,379"
52504012,4,"3,817"
52504013,6,"4,130"
