ward,voting_districts,registered_voters
52806001,9,"5,441"
52806002,5,"4,211"
52806003,6,"4,382"
52806004,4,"3,952"
52806005,7,"6,986"
52806006,5,"4,420"
52806007,8,"4,255"
52806008,7,"3,317"
52806009,7,"5,246"
52806010,7,"4,120"
52806011,6,"4,593"
52806012,10,"5,178"
52806013,8,"5,469"
52806014,7,"4,932"
