Q13. Voting in the most recent national election;Q9c. Freedom to choose who to vote for;Q12a. Elections ensure MPs reflect views of voters;Q12b. Elections ensure voters remove unrepresentative leaders;Q14a. Freeness and fairness of the last national election;Q14b. How likely powerful find out your vote;Q14c. Last national election: fear political intimidation or violence;Q19b. Elected officials follow voter demands vs follow own ideas;Q24. Choose leaders through elections vs other methods;Q23b-saf. Willing to give up regular elections;Urban or Rural Primary Sampling Unit;Q3. Overall direction of the country;Q4a. Country’s present economic condition;Q4b. Your present living conditions
I voted in the election;Completely free;Not at all well;Not at all well;Completely free and fair;Not at all likely;Not at all;Agree very strongly with 1;Agree very strongly with 1;Very unwilling;Urban;Going in the wrong direction;Very bad;Fairly bad
I voted in the election;Completely free;Not at all well;Not at all well;Not free and fair;Somewhat likely;Not at all;Agree very strongly with 2;Agree very strongly with 2;Refused;Urban;Going in the wrong direction;Very bad;Fairly bad
I voted in the election;Completely free;Fairly well;Not at all well;Completely free and fair;Not at all likely;Not at all;Agree very strongly with 1;Agree very strongly with 2;Very willing;Rural;Going in the wrong direction;Very bad;Neither good nor bad
I did not vote;Completely free;Very well;Not very well;Don’t know;Not very likely;Not at all;Agree with 2;Agree with 1;Unwilling;Rural;Going in the wrong direction;Very bad;Neither good nor bad
I did not vote;Completely free;Not very well;Not at all well;Free and fair, but with minor problems;Not at all likely;Not at all;Agree very strongly with 1;Agree very strongly with 1;Very willing;Rural;Going in the right direction;Fairly bad;Fairly bad
I voted in the election;Completely free;Very well;Very well;Completely free and fair;Very likely;Not at all;Agree with 1;Agree very strongly with 2;Very willing;Rural;Going in the wrong direction;Very bad;Very bad
I voted in the election;Completely free;Don’t know;Don’t know;Not free and fair;Don’t know;A lot;Agree with 2;Agree with 2;Very willing;Urban;Going in the right direction;Very bad;Very bad
I did not vote;Somewhat free;Fairly well;Fairly well;Free and fair, with major problems;Very likely;A lot;Agree very strongly with 2;Agree very strongly with 1;Willing;Urban;Going in the right direction;Fairly bad;Fairly good
I voted in the election;Completely free;Not very well;Not very well;Free and fair, with major problems;Somewhat likely;Not at all;Agree very strongly with 2;Agree very strongly with 1;Very willing;Urban;Going in the wrong direction;Very bad;Fairly good
I voted in the election;Completely free;Fairly well;Fairly well;Free and fair, but with minor problems;Not at all likely;Not at all;Agree very strongly with 2;Agree very strongly with 2;Very willing;Urban;Going in the wrong direction;Very bad;Fairly bad
I voted in the election;Completely free;Not at all well;Very well;Free and fair, with major problems;Don’t know;Somewhat;Agree very strongly with 2;Agree very strongly with 1;Very willing;Urban;Going in the wrong direction;Fairly bad;Fairly bad
I was too young to vote;Not very free;Fairly well;Very well;Completely free and fair;Somewhat likely;Don’t know;Agree with 2;Agree very strongly with 2;Willing;Urban;Going in the wrong direction;Fairly bad;Fairly good
